"","Aeschylus","DiodSic","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Thucydides",0,0,2,0,0,0,0,0,0,0,9,3,5
"Xenophon",0,0,0,0,0,0,0,0,0,0,3,8,3
"-SUM-",1,0,4,0,3,0,1,0,1,0,4,9,23
"Aeschylus",14,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,13,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,6,0,0,0,0,0,0,0,1,0,1
"Hesiod",0,0,0,11,3,0,1,0,0,0,0,0,4
"IlHomer",0,0,0,0,15,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,14,0,0,0,0,1,0,2
"OdHomer",0,0,0,0,1,0,23,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,9,0,0,0,3,3
"Polybius",0,1,0,0,0,0,0,0,18,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,10,0,0,0
"Thucydides",0,1,1,0,0,1,0,0,0,0,9,1,4
"Xenophon",0,1,1,0,0,1,0,0,0,0,4,6,7
"-SUM-",0,3,3,0,4,2,1,0,1,0,6,4,24
"Aeschylus",17,0,0,1,0,0,0,0,0,1,0,0,2
"DiodSic",0,10,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,14,0,0,0,0,0,0,0,1,2,3
"Hesiod",0,0,0,9,1,0,0,0,0,0,0,0,1
"IlHomer",0,0,0,0,17,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,6,0,0,0,0,0,3,4
"OdHomer",0,0,0,0,0,0,17,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,14,0,0,0,0,0
"Polybius",0,1,0,0,0,0,0,0,13,0,0,0,1
"Sophocles",2,0,0,0,0,0,0,0,0,18,0,0,2
"Thucydides",0,0,0,0,0,1,0,0,0,0,13,2,3
"Xenophon",0,0,0,0,0,0,0,0,0,0,1,6,1
"-SUM-",2,1,1,1,1,1,0,0,1,1,2,7,18
"Aeschylus",12,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,11,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,11,0,0,0,0,0,0,0,0,0,0
"Hesiod",1,0,0,13,3,0,0,0,0,0,0,0,4
"IlHomer",0,0,0,0,18,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,12,0,0,0,0,1,1,3
"OdHomer",0,0,0,0,0,0,10,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,11,0,0,0,0,1
"Polybius",0,1,0,0,0,0,0,1,17,0,0,0,2
"Sophocles",0,0,0,0,0,0,0,0,0,13,0,0,0
"Thucydides",0,0,3,0,0,0,0,0,0,0,12,0,3
"Xenophon",0,1,2,0,0,1,0,1,1,0,4,9,10
"-SUM-",1,2,7,0,3,1,0,2,1,0,5,1,23
"Aeschylus",13,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,18,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,11,0,0,0,0,0,0,0,1,0,1
"Hesiod",0,0,0,10,5,0,0,0,0,0,0,0,5
"IlHomer",0,0,0,0,12,0,0,0,0,0,0,0,0
"Lysias",0,0,2,0,0,11,0,0,0,0,2,0,4
"OdHomer",0,0,0,0,0,0,14,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,18,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,0,14,0,0,0,0
"Sophocles",1,0,0,0,0,0,0,0,0,13,0,0,1
"Thucydides",0,1,0,0,0,0,0,0,0,0,10,0,1
"Xenophon",0,1,2,0,0,1,0,0,0,0,4,7,8
"-SUM-",1,2,5,0,5,1,0,0,0,0,7,0,21
"Aeschylus",18,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,18,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,0,14,0,0,0,0,0,0,0,0,1,1
"Hesiod",0,0,0,10,1,0,1,0,0,0,0,0,2
"IlHomer",0,0,0,0,17,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,8,0,0,0,0,0,1,1
"OdHomer",0,0,0,0,1,0,17,0,0,0,0,0,1
"Plutarch",0,0,0,0,0,0,0,10,0,0,0,1,1
"Polybius",0,0,0,0,0,0,0,0,11,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,12,0,0,0
"Thucydides",0,1,3,0,0,1,0,1,0,0,6,1,7
"Xenophon",0,0,1,0,0,1,0,1,0,0,4,8,7
"-SUM-",0,1,4,0,2,2,1,2,2,1,4,4,23
"Aeschylus",19,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,12,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,7,0,0,1,0,0,0,0,2,0,3
"Hesiod",0,0,0,7,4,0,1,0,0,0,0,0,5
"IlHomer",0,0,0,0,23,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,13,0,0,0,0,0,0,0
"OdHomer",0,0,0,0,0,0,22,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,6,0,0,0,0,0
"Polybius",0,1,0,0,0,0,0,1,13,0,0,0,2
"Sophocles",0,0,0,0,0,0,0,0,0,14,0,0,0
"Thucydides",0,1,0,0,0,0,0,1,0,0,10,0,2
"Xenophon",0,0,1,0,0,2,0,0,0,0,3,6,6
"-SUM-",0,2,1,0,4,3,1,2,1,1,5,0,20
"Aeschylus",12,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,12,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,17,0,0,0,0,0,0,0,2,0,2
"Hesiod",0,0,0,10,5,0,1,0,0,0,0,0,6
"IlHomer",0,0,0,0,20,0,0,0,0,0,0,0,0
