"","Aeschylus","Diodorus","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Polybius",0,0,0,0,0,0,0,0,10,0,0,0,0
"Sophocles",4,0,0,0,0,0,1,0,0,15,0,0,5
"Thucydides",0,0,1,0,0,3,0,1,0,0,11,1,6
"Xenophon",0,0,0,0,0,5,0,0,1,0,3,6,9
"-SUM-",4,1,4,2,9,9,1,2,2,2,9,1,46
"Aeschylus",16,0,0,0,1,0,0,0,0,2,0,0,3
"Diodorus",0,9,0,0,0,0,0,0,5,0,1,0,6
"Herodotus",0,0,19,0,0,1,0,0,0,0,2,0,3
"Hesiod",0,0,0,12,3,0,0,0,0,0,0,0,3
"IlHomer",0,0,0,1,27,0,0,0,0,0,0,0,1
"Lysias",0,0,2,0,0,17,0,0,0,0,0,0,2
"OdHomer",0,0,0,1,1,0,23,0,0,0,0,0,2
"Plutarch",0,1,1,0,0,0,0,7,0,0,0,0,2
"Polybius",0,1,0,0,0,0,0,1,13,0,0,1,3
"Sophocles",0,0,0,0,0,0,0,0,0,16,0,0,0
"Thucydides",0,0,0,0,0,0,0,2,0,0,7,1,3
"Xenophon",0,1,0,0,0,4,0,1,0,0,3,3,9
"-SUM-",0,3,3,2,5,5,0,4,5,2,6,2,37
"Aeschylus",16,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,17,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,18,0,0,1,0,0,0,0,0,0,1
"Hesiod",1,0,0,14,8,0,1,0,0,0,0,0,10
"IlHomer",0,0,0,0,23,0,2,0,0,0,0,0,2
"Lysias",0,0,0,0,0,8,0,0,0,0,0,2,2
"OdHomer",0,0,0,0,0,0,19,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,14,0,0,1,0,1
"Polybius",0,1,0,0,0,1,0,1,18,0,0,0,3
"Sophocles",0,0,0,0,0,0,0,0,0,8,0,0,0
"Thucydides",0,0,1,0,0,2,0,2,0,0,14,1,6
"Xenophon",0,0,0,0,0,2,0,0,0,0,2,7,4
"-SUM-",1,1,1,0,8,6,3,3,1,0,3,3,30
"Aeschylus",14,0,0,0,0,0,0,0,0,0,0,0,0
"Diodorus",0,19,0,0,0,0,0,0,1,0,0,0,1
"Herodotus",0,0,10,0,0,0,0,0,1,0,1,0,2
"Hesiod",0,0,0,14,4,0,0,0,0,1,0,0,5
"IlHomer",0,0,0,0,22,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,18,0,0,0,0,2,1,4
"OdHomer",0,0,0,0,0,0,16,0,0,0,0,0,0
"Plutarch",0,0,1,0,0,0,0,15,1,0,0,0,2
"Polybius",0,0,0,0,0,0,0,0,12,0,0,0,0
"Sophocles",2,0,0,0,0,0,0,0,0,18,0,0,2
"Thucydides",0,0,4,0,0,1,0,1,0,0,8,2,8
"Xenophon",0,0,1,0,0,3,0,0,0,0,1,11,5
"-SUM-",2,0,7,0,4,4,0,1,3,1,4,3,29
"Aeschylus",10,0,0,0,0,0,0,0,0,4,0,0,4
"Diodorus",0,15,0,0,0,0,0,0,6,0,1,0,7
"Herodotus",0,0,14,0,0,0,0,1,0,0,2,1,4
"Hesiod",0,0,0,6,7,0,1,0,0,0,0,0,8
"IlHomer",0,0,0,0,20,0,0,0,0,0,0,0,0
"Lysias",0,0,1,0,0,14,0,0,0,0,1,0,2
"OdHomer",0,0,0,0,1,0,18,0,0,1,0,0,2
"Plutarch",0,1,2,0,0,0,0,13,2,0,0,0,5
"Polybius",0,1,0,0,0,0,0,0,16,0,0,1,2
"Sophocles",1,0,0,0,0,0,0,0,0,19,0,0,1
