"","Aeschylus","DiodSic","Herodotus","Hesiod","IlHomer","Lysias","OdHomer","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Plutarch",0,1,0,0,0,0,0,11,0,0,0,0,1
"Polybius",0,0,0,0,0,0,0,1,19,0,0,0,1
"Sophocles",0,0,0,0,0,0,0,0,0,19,0,0,0
"Thucydides",0,0,0,0,0,1,0,1,0,0,13,1,3
"Xenophon",0,1,2,0,0,0,0,0,0,0,0,9,3
"-SUM-",0,2,5,0,5,1,0,2,0,0,1,2,18
"Aeschylus",14,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,11,0,0,0,0,0,0,2,0,0,0,2
"Herodotus",0,1,11,0,0,2,0,0,0,0,0,0,3
"Hesiod",0,0,0,11,1,0,2,0,0,0,0,0,3
"IlHomer",0,0,0,0,23,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,9,0,0,0,0,1,0,1
"OdHomer",0,0,0,0,2,0,11,0,0,0,0,0,2
"Plutarch",0,1,0,0,0,0,0,14,1,0,0,0,2
"Polybius",0,0,0,0,0,0,0,0,16,0,0,0,0
"Sophocles",0,0,0,0,0,0,0,0,0,16,0,0,0
"Thucydides",0,0,0,0,0,0,0,4,0,0,5,1,5
"Xenophon",0,1,0,0,0,2,0,0,1,0,1,8,5
"-SUM-",0,3,0,0,3,4,2,4,4,0,2,1,23
"Aeschylus",14,0,0,0,0,0,0,0,0,1,0,0,1
"DiodSic",0,18,0,0,0,0,0,0,0,0,0,0,0
"Herodotus",0,0,17,0,0,0,0,0,0,0,0,0,0
"Hesiod",0,0,0,7,4,0,0,0,0,0,0,0,4
"IlHomer",0,0,0,0,12,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,9,0,0,0,0,3,1,4
"OdHomer",0,0,0,0,0,0,17,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,13,0,0,0,0,0
"Polybius",0,1,0,0,0,0,0,0,9,0,0,0,1
"Sophocles",1,0,0,0,0,0,0,0,0,17,0,0,1
"Thucydides",0,0,1,0,0,1,0,2,0,0,15,0,4
"Xenophon",0,0,1,0,0,2,0,0,0,0,1,5,4
"-SUM-",1,1,2,0,4,3,0,2,0,1,4,1,19
"Aeschylus",18,0,0,0,0,0,0,0,0,0,0,0,0
"DiodSic",0,14,0,0,0,0,0,1,3,0,0,0,4
"Herodotus",0,0,12,0,0,1,0,0,0,0,1,0,2
"Hesiod",0,0,0,9,2,0,2,0,0,0,0,0,4
"IlHomer",0,0,0,0,13,0,0,0,0,0,0,0,0
"Lysias",0,0,0,0,0,10,0,0,0,0,1,0,1
"OdHomer",0,0,0,0,0,0,8,0,0,0,0,0,0
"Plutarch",0,0,0,0,0,0,0,15,1,0,0,0,1
