author_rate,chunk_rate,chunk_ref,
0.2,0.000692042,Polybius_Book10-50,
0.2,0.000692042,Polybius_Book10-51,
0.2,0.000692042,Polybius_Book10-52,
0.2,0.000692042,Polybius_Book10-53,
0.2,0.000692042,Polybius_Book10-54,
0.2,0.000692042,Polybius_Book10-55,
0.2,0.000692042,Polybius_Book10-56,
0.2,0.000692042,Polybius_Book10-57,
0.2,0.000692042,Polybius_Book10-6,
0.2,0.000692042,Polybius_Book10-7,
0.2,0.000692042,Polybius_Book10-8,
0.2,0.000692042,Polybius_Book10-9,
0.2,0.000692042,Polybius_Book2-1,
0.2,0.000692042,Polybius_Book2-10,
0.2,0.000692042,Polybius_Book2-11,
0.2,0.000692042,Polybius_Book2-12,
0.2,0.000692042,Polybius_Book2-13,
0.2,0.000692042,Polybius_Book2-14,
0.2,0.000692042,Polybius_Book2-15,
0.2,0.000692042,Polybius_Book2-16,
0.2,0.000692042,Polybius_Book2-17,
0.2,0.000692042,Polybius_Book2-18,
0.2,0.000692042,Polybius_Book2-19,
0.2,0.000692042,Polybius_Book2-2,
0.2,0.000692042,Polybius_Book2-20,
0.2,0.000692042,Polybius_Book2-21,
0.2,0.000692042,Polybius_Book2-22,
0.2,0.000692042,Polybius_Book2-23,
0.2,0.000692042,Polybius_Book2-24,
0.2,0.000692042,Polybius_Book2-25,
0.2,0.000692042,Polybius_Book2-26,
0.2,0.000692042,Polybius_Book2-27,
0.2,0.000692042,Polybius_Book2-28,
0.2,0.000692042,Polybius_Book2-29,
0.2,0.000692042,Polybius_Book2-3,
0.2,0.000692042,Polybius_Book2-30,
0.2,0.000692042,Polybius_Book2-31,
0.2,0.000692042,Polybius_Book2-32,
0.2,0.000692042,Polybius_Book2-33,
0.2,0.000692042,Polybius_Book2-34,
0.2,0.000692042,Polybius_Book2-35,
0.2,0.000692042,Polybius_Book2-36,
0.2,0.000692042,Polybius_Book2-37,
0.2,0.000692042,Polybius_Book2-38,
0.2,0.000692042,Polybius_Book2-39,
0.2,0.000692042,Polybius_Book2-4,
0.2,0.000692042,Polybius_Book2-40,
0.2,0.000692042,Polybius_Book2-41,
0.2,0.000692042,Polybius_Book2-42,
0.2,0.000692042,Polybius_Book2-43,
0.2,0.000692042,Polybius_Book2-44,
0.2,0.000692042,Polybius_Book2-45,
0.2,0.000692042,Polybius_Book2-46,
0.2,0.000692042,Polybius_Book2-47,
0.2,0.000692042,Polybius_Book2-48,
0.2,0.000692042,Polybius_Book2-49,
0.2,0.000692042,Polybius_Book2-5,
0.2,0.000692042,Polybius_Book2-50,
0.2,0.000692042,Polybius_Book2-51,
0.2,0.000692042,Polybius_Book2-52,
0.2,0.000692042,Polybius_Book2-53,
0.2,0.000692042,Polybius_Book2-54,
