"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Aeschylus",92,0,1,6,4,3,0,0,0,31,0,0,45
"Diodorus",1,44,5,0,0,0,0,5,64,0,5,2,82
"Herodotus",2,13,62,0,1,1,5,12,21,3,9,10,77
"Hesiod",12,0,0,59,22,19,0,0,0,4,0,0,57
"HomerIL",2,0,0,2,113,21,0,0,0,2,0,0,27
"HomerOD",3,0,0,5,46,100,0,0,0,0,0,0,54
"Lysias",0,1,25,0,0,0,53,6,31,2,7,13,85
"Plutarch",0,7,17,0,0,1,3,47,50,0,5,6,89
"Polybius",0,15,6,0,0,0,2,5,100,0,0,3,31
"Sophocles",35,0,0,7,8,4,0,0,0,100,0,0,54
"Thucydides",0,6,21,0,0,0,16,11,30,1,38,10,95
"Xenophon",0,8,27,0,0,0,24,8,31,0,7,32,105
"-SUM-",55,50,102,20,81,49,50,47,227,43,33,44,801
"Aeschylus",86,0,0,4,3,6,0,1,0,36,0,0,50
"Diodorus",1,46,3,0,0,0,3,5,59,0,4,4,79
"Herodotus",3,11,58,0,0,3,6,10,20,1,11,12,77
"Hesiod",14,0,0,59,29,20,0,0,0,6,0,0,69
"HomerIL",4,0,1,6,115,17,0,0,0,1,0,0,29
"HomerOD",2,0,0,6,42,90,0,0,0,1,0,0,51
"Lysias",0,3,25,0,0,0,54,5,30,1,9,12,85
"Plutarch",0,10,16,0,0,1,6,39,48,0,7,5,93
"Polybius",0,15,5,0,0,0,7,4,106,0,2,1,34
"Sophocles",35,0,2,7,8,3,1,3,2,89,0,0,61
"Thucydides",1,8,13,0,1,0,10,10,29,0,49,7,79
"Xenophon",1,11,24,0,0,1,26,8,19,1,17,35,108
"-SUM-",61,58,89,23,83,51,59,46,207,47,50,41,815
"Aeschylus",85,1,3,4,2,2,0,0,0,29,0,0,41
"Diodorus",0,46,7,0,0,0,2,6,52,0,5,6,78
"Herodotus",1,6,81,0,1,1,8,8,15,1,16,10,67
"Hesiod",17,0,1,57,26,21,0,0,0,4,1,2,72
"HomerIL",1,0,0,4,114,23,0,0,0,3,0,0,31
"HomerOD",2,0,0,6,42,101,0,0,0,2,0,0,52
"Lysias",0,3,16,0,0,0,59,3,25,2,14,16,79
"Plutarch",4,10,18,0,1,0,5,30,41,0,8,7,94
"Polybius",0,17,6,0,1,0,6,5,111,0,6,4,45
"Sophocles",33,0,1,2,11,3,2,1,1,91,0,0,54
"Thucydides",1,7,22,0,0,1,11,8,37,2,43,10,99
"Xenophon",0,10,15,0,3,0,21,7,16,0,9,30,81
"-SUM-",59,54,89,16,87,51,55,38,187,43,59,55,793
"Aeschylus",84,1,2,2,4,2,1,1,0,36,0,0,49
"Diodorus",1,48,8,0,0,0,2,5,56,0,5,3,80
"Herodotus",3,8,68,0,1,0,8,10,25,5,13,15,88
"Hesiod",15,0,0,65,23,22,0,0,0,5,0,0,65
"HomerIL",2,0,0,5,95,27,0,0,0,1,0,0,35
"HomerOD",3,0,0,4,39,100,0,0,0,0,0,0,46
"Lysias",0,2,14,0,1,0,61,7,23,3,8,13,71
"Plutarch",2,9,15,0,1,0,10,46,44,0,11,5,97
"Polybius",1,14,2,0,0,0,4,3,115,0,1,1,26
"Sophocles",37,0,2,3,6,2,1,0,2,85,1,0,54
"Thucydides",0,5,25,0,0,0,9,13,22,0,37,9,83
"Xenophon",1,9,25,0,1,0,20,6,28,2,11,40,103
"-SUM-",65,48,93,14,76,53,55,45,200,52,50,46,797
"Aeschylus",107,0,1,6,4,4,0,1,0,22,0,0,38
"Diodorus",0,42,9,0,0,0,5,5,56,0,3,1,79
"Herodotus",2,9,66,0,0,0,9,5,16,1,15,4,61
"Hesiod",19,0,0,50,27,13,0,1,0,6,0,0,66
"HomerIL",3,0,0,6,116,24,0,0,0,1,1,0,35
"HomerOD",1,0,0,4,35,99,0,0,0,2,0,0,42
"Lysias",1,3,22,0,2,0,57,3,23,1,15,12,82
"Plutarch",0,14,17,0,0,0,8,34,41,0,10,4,94
"Polybius",0,11,8,0,0,0,6,4,117,0,2,2,33
"Sophocles",42,0,0,4,4,4,1,1,1,94,0,0,57
