"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIL","HomerOD","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Aeschylus",106,1,0,6,7,4,0,0,0,40,0,0,58
"Diodorus",1,50,10,0,0,0,1,5,50,0,2,3,72
"Herodotus",2,10,61,0,1,2,11,12,23,1,9,14,85
"Hesiod",11,0,1,53,28,26,0,0,0,6,0,0,72
"HomerIL",1,0,0,5,126,12,0,0,0,0,0,0,18
"HomerOD",3,0,0,5,37,104,0,0,0,0,0,0,45
"Lysias",1,2,17,0,0,0,51,7,30,6,12,12,87
"Plutarch",1,14,12,1,1,0,4,42,29,1,7,7,77
"Polybius",0,9,10,0,0,0,3,8,95,0,2,2,34
"Sophocles",31,0,2,6,3,3,2,0,1,80,0,0,48
"Thucydides",0,12,25,0,0,1,18,9,30,2,41,12,109
"Xenophon",0,5,14,0,0,1,23,6,27,0,10,41,86
"-SUM-",51,53,91,23,77,49,62,47,190,56,42,50,791
"Aeschylus",110,0,1,3,3,5,0,0,0,31,0,0,43
"Diodorus",0,55,6,0,0,0,2,7,51,0,3,5,74
"Herodotus",1,4,68,0,0,1,8,13,16,1,11,12,67
"Hesiod",24,0,1,58,22,20,0,0,0,5,0,0,72
"HomerIL",2,0,1,2,102,10,0,0,0,1,0,0,16
"HomerOD",2,0,0,1,45,79,0,0,0,1,0,0,49
"Lysias",1,2,15,0,0,0,58,7,26,4,16,12,83
"Plutarch",1,8,15,1,1,0,7,50,37,0,9,6,85
"Polybius",2,10,8,0,0,0,9,7,98,0,4,3,43
"Sophocles",38,0,1,1,7,3,1,0,0,99,0,0,51
"Thucydides",0,12,29,1,0,1,10,11,32,0,36,7,103
"Xenophon",0,10,21,0,0,0,27,13,18,0,17,36,106
"-SUM-",71,46,98,9,78,40,64,58,180,43,60,45,792
"Aeschylus",104,0,0,3,6,4,1,1,1,34,0,0,50
"Diodorus",0,47,11,0,0,0,2,8,51,0,5,4,81
"Herodotus",2,6,68,0,4,0,8,9,17,4,22,9,81
"Hesiod",21,0,1,62,18,24,0,0,0,7,0,0,71
"HomerIL",2,0,0,4,113,25,0,0,0,1,0,0,32
"HomerOD",4,0,0,5,33,86,0,0,0,0,0,0,42
"Lysias",1,4,19,0,0,1,53,4,25,4,9,12,79
"Plutarch",0,4,22,1,0,0,8,39,41,0,10,10,96
"Polybius",0,16,6,0,0,0,2,7,113,0,5,1,37
"Sophocles",28,0,2,1,7,3,0,0,1,71,0,3,45
"Thucydides",1,8,31,1,0,1,19,6,25,1,31,14,107
"Xenophon",0,11,26,0,1,0,22,10,23,0,9,31,102
"-SUM-",59,49,118,15,69,58,62,45,184,51,60,53,823
"Aeschylus",111,0,0,4,4,2,0,1,0,25,0,0,36
"Diodorus",0,43,8,0,0,0,1,6,60,0,4,3,82
"Herodotus",2,16,69,1,1,1,9,8,15,1,8,7,69
"Hesiod",14,0,1,62,29,16,0,0,0,2,0,0,62
"HomerIL",3,0,0,4,98,21,0,0,0,2,0,0,30
"HomerOD",5,0,0,3,39,110,0,0,0,1,0,0,48
"Lysias",1,2,12,0,0,0,51,6,26,4,10,19,80
"Plutarch",1,8,21,1,0,0,7,42,33,0,11,4,86
"Polybius",0,3,9,0,0,0,2,9,107,1,4,4,32
"Sophocles",30,0,3,2,3,3,0,0,1,98,0,1,43
"Thucydides",1,9,27,0,0,1,14,11,33,1,33,9,106
"Xenophon",0,4,24,0,3,0,24,10,30,1,15,32,111
"-SUM-",57,42,105,15,79,44,57,51,198,38,52,47,785
"Aeschylus",94,0,2,7,7,3,0,0,0,32,0,0,51
"Diodorus",2,46,9,0,0,0,2,13,56,0,8,1,91
"Herodotus",0,12,63,0,1,0,7,5,25,0,9,13,72
"Hesiod",17,0,1,51,38,17,0,0,0,12,0,0,85
"HomerIL",1,0,0,3,107,16,0,0,0,0,0,0,20
"HomerOD",3,0,0,5,39,90,0,0,0,0,0,0,47
"Lysias",1,3,20,0,0,1,55,6,17,3,11,16,78
"Plutarch",0,10,17,0,1,1,5,35,37,0,10,7,88
"Polybius",0,17,7,0,0,0,2,6,105,0,6,5,43
"Sophocles",27,0,3,3,11,5,0,0,0,97,0,1,50
