,Aeschylus,Diodorus,Herodotus,Hesiod,HomerIl,HomerOd,Lysias,Plutarch,Polybius,Sophocles,Thucydides,Xenophon,-SUM-,,,,
HomerOd,0,0,0,0,4,32,0,0,0,0,0,0,4,,,,
Lysias,0,0,4,0,0,0,29,0,1,0,4,3,12,,,,
Plutarch,0,3,4,0,0,0,1,28,7,0,3,3,21,,,,
Polybius,0,0,0,0,0,0,0,2,36,0,1,0,3,,,,
Sophocles,6,0,0,0,1,1,0,0,0,34,0,0,8,,,,
Thucydides,0,1,3,0,0,0,2,3,4,0,19,0,13,,,,
Xenophon,0,1,7,0,0,0,6,3,5,0,4,20,26,,,,
-SUM-,7,5,21,2,7,4,12,10,28,6,17,7,126,,,,
Aeschylus,35,0,0,0,0,0,0,0,0,6,0,0,6,,,,
Diodorus,0,21,1,0,0,0,0,1,13,0,0,0,15,,,,
Herodotus,0,3,25,0,0,0,1,1,2,0,4,4,15,,,,
Hesiod,0,0,0,29,2,1,0,0,0,1,0,0,4,,,,
HomerIl,0,0,0,1,46,3,0,0,0,0,0,0,4,,,,
HomerOd,0,0,0,0,4,37,0,0,0,0,0,0,4,,,,
Lysias,0,1,5,0,0,0,26,0,2,0,1,2,11,,,,
Plutarch,0,4,2,0,0,0,2,18,8,0,3,1,20,,,,
Polybius,0,2,0,0,0,0,0,1,38,0,1,0,4,,,,
Sophocles,7,0,0,0,0,0,0,0,0,27,0,0,7,,,,
Thucydides,0,1,5,0,0,0,6,3,2,0,16,2,19,,,,
Xenophon,0,2,4,0,0,0,5,1,4,0,1,16,17,,,,
-SUM-,7,13,17,1,6,4,14,7,31,7,10,9,126,,,,
Aeschylus,31,0,0,0,0,1,0,0,0,4,0,0,5,,,,
Diodorus,0,25,3,0,0,0,0,0,11,0,2,0,16,,,,
Herodotus,0,0,34,0,0,0,0,1,3,0,9,2,15,,,,
Hesiod,1,0,0,32,4,2,0,0,0,1,0,0,8,,,,
HomerIl,0,0,0,0,29,2,0,0,0,0,0,0,2,,,,
HomerOd,0,0,0,1,6,32,0,0,0,0,0,0,7,,,,
Lysias,0,0,4,0,0,0,21,0,2,0,6,2,14,,,,
Plutarch,0,4,4,0,0,0,0,18,7,0,1,0,16,,,,
Polybius,0,3,0,0,0,0,0,4,31,0,0,1,8,,,,
Sophocles,4,0,0,0,0,1,0,0,0,38,0,0,5,,,,
Thucydides,0,1,5,0,0,0,4,3,1,0,20,2,16,,,,
Xenophon,0,2,3,0,0,0,6,2,6,0,2,16,21,,,,
-SUM-,5,10,19,1,10,6,10,10,30,5,20,7,133,,,,
Aeschylus,39,0,0,1,0,0,0,0,0,6,0,0,7,,,,
Diodorus,0,19,1,0,0,0,0,0,19,0,0,1,21,,,,
Herodotus,0,0,28,0,0,0,0,1,0,0,4,3,8,,,,
Hesiod,2,0,0,34,4,3,0,0,0,0,0,0,9,,,,
HomerIl,0,0,0,0,33,4,0,0,0,0,0,0,4,,,,
HomerOd,0,0,0,0,5,34,0,0,0,0,0,0,5,,,,
Lysias,0,0,4,0,0,0,19,0,2,0,3,3,12,,,,
Plutarch,0,2,2,0,0,0,0,21,7,0,3,0,14,,,,
Polybius,0,3,0,0,0,0,0,0,38,0,3,0,6,,,,
Sophocles,7,0,0,0,0,0,0,0,0,39,0,0,7,,,,
Thucydides,0,3,5,0,0,0,4,1,3,0,15,0,16,,,,
Xenophon,0,1,3,0,0,0,2,0,2,0,6,18,14,,,,
-SUM-,9,9,15,1,9,7,6,2,33,6,19,7,123,,,,
Aeschylus,38,0,0,0,0,0,0,0,0,3,0,0,3,,,,
Diodorus,0,23,2,0,0,0,0,1,16,0,0,0,19,,,,
Herodotus,0,2,33,0,0,0,2,1,2,0,4,1,12,,,,
Hesiod,0,0,0,28,3,1,0,0,0,1,0,0,5,,,,
