"","Aeschylus","Diodorus","Herodotus","Hesiod","HomerIl","HomerOd","Lysias","Plutarch","Polybius","Sophocles","Thucydides","Xenophon","-SUM-"
"Sophocles",7,0,1,0,0,0,0,0,0,51,0,0,8
"Thucydides",0,0,8,0,0,0,5,7,15,0,21,7,42
"Xenophon",0,7,9,0,0,0,6,1,6,0,8,23,37
"-SUM-",9,17,36,1,27,21,22,20,54,19,28,20,274
"Aeschylus",43,0,0,2,0,0,0,0,0,16,0,0,18
"Diodorus",0,28,4,0,0,0,1,0,23,0,0,0,28
"Herodotus",1,3,49,0,0,0,0,7,6,2,4,4,27
"Hesiod",5,0,0,41,9,6,0,0,0,1,0,0,21
"HomerIl",0,0,0,1,60,6,0,0,0,0,0,0,7
"HomerOd",0,0,0,3,14,50,0,0,0,1,0,0,18
"Lysias",0,1,9,0,0,0,31,1,6,0,5,8,30
"Plutarch",0,6,7,0,0,0,2,19,13,0,4,3,35
"Polybius",0,9,3,0,0,0,1,3,58,0,3,1,20
"Sophocles",4,0,1,0,1,0,0,0,0,55,0,0,6
"Thucydides",0,5,15,0,0,0,2,8,7,0,30,2,39
"Xenophon",0,5,8,0,0,0,7,2,6,0,3,21,31
"-SUM-",10,29,47,6,24,12,13,21,61,20,19,18,280
"Aeschylus",52,0,0,0,0,0,0,0,0,12,0,0,12
"Diodorus",0,33,2,0,0,0,0,6,17,0,0,0,25
"Herodotus",0,0,28,0,0,0,2,7,2,0,3,4,18
"Hesiod",4,0,0,42,10,7,0,0,0,2,0,0,23
"HomerIl",0,0,0,1,71,5,0,0,0,0,0,0,6
"HomerOd",0,0,0,3,9,48,0,0,0,0,0,0,12
"Lysias",0,0,7,0,0,0,43,1,10,0,4,7,29
"Plutarch",0,7,3,0,0,0,0,26,16,0,5,2,33
"Polybius",0,2,1,0,0,0,1,2,49,0,0,0,6
"Sophocles",7,0,1,0,0,2,0,0,0,68,0,0,10
