"","Diodorus","Herodotus","Plutarch","Polybius","Thucydides","-SUM-"
"Polybius",2,1,1,20,0,4
"Thucydides",1,3,3,1,23,8
"-SUM-",10,10,6,21,8,55
"Diodorus",17,2,1,12,1,16
"Herodotus",1,28,2,1,7,11
"Plutarch",1,3,20,9,4,17
"Polybius",2,1,0,27,0,3
"Thucydides",0,5,3,4,19,12
"-SUM-",4,11,6,26,12,59
"Diodorus",27,0,2,5,0,7
"Herodotus",0,37,2,4,2,8
"Plutarch",0,1,18,3,4,8
"Polybius",1,1,1,26,2,5
"Thucydides",2,6,1,6,19,15
"-SUM-",3,8,6,18,8,43
"Diodorus",25,0,1,9,1,11
"Herodotus",2,25,1,2,3,8
"Plutarch",3,1,21,2,3,9
"Polybius",3,1,2,28,1,7
"Thucydides",3,9,5,3,16,20
"-SUM-",11,11,9,16,8,55
"Diodorus",26,2,1,6,0,9
"Herodotus",2,25,0,2,4,8
"Plutarch",2,1,14,3,3,9
"Polybius",3,1,0,31,2,6
"Thucydides",2,11,3,3,23,19
"-SUM-",9,15,4,14,9,51
"Diodorus",23,0,2,8,1,11
"Herodotus",1,23,1,1,4,7
"Plutarch",2,2,23,7,3,14
"Polybius",4,0,2,32,1,7
"Thucydides",0,4,4,4,18,12
"-SUM-",7,6,9,20,9,51
"Diodorus",24,5,1,6,0,12
"Herodotus",0,30,2,2,3,7
"Plutarch",3,1,22,4,1,9
"Polybius",3,1,4,27,1,9
"Thucydides",0,5,1,2,22,8
"-SUM-",6,12,8,14,5,45
"Diodorus",17,0,0,6,0,6
"Herodotus",0,32,0,6,3,9
"Plutarch",1,2,19,10,1,14
"Polybius",4,1,3,30,1,9
"Thucydides",2,4,5,1,22,12
"-SUM-",7,7,8,23,5,50
"Diodorus",18,2,0,16,1,19
"Herodotus",2,27,1,3,1,7
"Plutarch",2,5,14,7,1,15
"Polybius",3,1,1,30,1,6
"Thucydides",2,10,5,1,16,18
"-SUM-",9,18,7,27,4,65
"Diodorus",24,2,0,5,1,8
"Herodotus",2,26,1,5,4,12
"Plutarch",2,1,27,5,6,14
"Polybius",1,1,2,23,0,4
"Thucydides",1,8,1,3,19,13
"-SUM-",6,12,4,18,11,51
"Diodorus",25,0,0,11,2,13
"Herodotus",3,23,0,2,4,9
"Plutarch",1,5,18,8,4,18
"Polybius",3,2,1,29,1,7
"Thucydides",0,7,2,3,16,12
"-SUM-",7,14,3,24,11,59
"Diodorus",23,2,0,12,1,15
"Herodotus",0,19,2,1,3,6
"Plutarch",0,1,20,7,4,12
"Polybius",4,0,1,29,0,5
"Thucydides",3,16,5,1,16,25
"-SUM-",7,19,8,21,8,63
"Diodorus",22,0,1,8,0,9
"Herodotus",2,37,2,3,3,10
"Plutarch",4,4,20,9,3,20
"Polybius",4,0,2,14,2,8
"Thucydides",0,5,5,3,17,13
"-SUM-",10,9,10,23,8,60
"Diodorus",18,1,0,5,2,8
"Herodotus",1,22,1,0,2,4
"Plutarch",4,4,19,7,3,18
"Polybius",3,2,2,37,0,7
"Thucydides",4,8,2,3,20,17
"-SUM-",12,15,5,15,7,54
"Diodorus",18,2,0,13,0,15
"Herodotus",3,25,3,1,1,8
"Plutarch",3,2,19,6,3,14
"Polybius",6,0,0,38,0,6
"Thucydides",1,9,5,0,12,15
"-SUM-",13,13,8,20,4,58
"Diodorus",23,2,1,7,1,11
"Herodotus",1,21,1,1,4,7
"Plutarch",2,1,23,9,2,14
"Polybius",3,1,3,32,0,7
"Thucydides",3,8,3,5,13,19
"-SUM-",9,12,8,22,7,58
"Diodorus",18,0,0,9,0,9
"Herodotus",1,27,1,4,2,8
"Plutarch",2,2,19,4,4,12
"Polybius",5,1,3,36,0,9
"Thucydides",0,3,5,5,19,13
"-SUM-",8,6,9,22,6,51
"Diodorus",23,1,2,11,0,14
"Herodotus",1,31,0,2,5,8
"Plutarch",1,3,24,5,2,11
"Polybius",2,2,2,17,1,7
"Thucydides",1,10,2,2,20,15
"-SUM-",5,16,6,20,8,55
"Diodorus",13,1,1,13,2,17
"Herodotus",2,27,1,1,3,7
"Plutarch",0,8,16,4,2,14
"Polybius",5,1,1,31,1,8
"Thucydides",2,7,4,4,20,17
"-SUM-",9,17,7,22,8,63
"Diodorus",20,2,1,5,1,9
"Herodotus",3,31,2,1,4,10
"Plutarch",1,3,21,4,1,9
"Polybius",3,1,0,27,1,5
"Thucydides",2,5,2,5,24,14
"-SUM-",9,11,5,15,7,47
"Diodorus",23,2,1,6,1,10
"Herodotus",3,32,1,2,4,10
"Plutarch",0,0,17,4,4,8
"Polybius",5,0,2,28,1,8
"Thucydides",0,6,3,4,21,13
"-SUM-",8,8,7,16,10,49
"Diodorus",24,1,0,7,2,10
"Herodotus",0,26,1,3,5,9
"Plutarch",3,3,23,5,2,13
"Polybius",6,0,2,26,1,9
"Thucydides",0,5,2,3,20,10
"-SUM-",9,9,5,18,10,51
"Diodorus",21,4,1,7,0,12
"Herodotus",0,26,0,2,2,4
"Plutarch",5,0,18,4,4,13
"Polybius",3,2,1,32,1,7
"Thucydides",3,10,3,4,17,20
"-SUM-",11,16,5,17,7,56
"Diodorus",25,1,2,9,3,15
"Herodotus",2,26,1,0,6,9
"Plutarch",1,2,21,5,5,13
"Polybius",2,0,3,25,1,6
"Thucydides",1,7,2,5,15,15
"-SUM-",6,10,8,19,15,58
"Diodorus",18,2,0,16,1,19
"Herodotus",2,26,1,2,3,8
"Plutarch",1,1,20,3,1,6
"Polybius",3,2,1,32,2,8
"Thucydides",1,8,3,2,19,14
"-SUM-",7,13,5,23,7,55
"Diodorus",27,1,1,5,0,7
"Herodotus",1,22,2,1,3,7
"Plutarch",0,1,25,8,3,12
"Polybius",4,1,1,31,1,7
"Thucydides",2,11,4,1,14,18
"-SUM-",7,14,8,15,7,51
"Diodorus",23,1,1,12,1,15
"Herodotus",1,24,0,2,1,4
"Plutarch",2,1,22,4,4,11
"Polybius",2,1,3,24,1,7
"Thucydides",0,7,5,4,24,16
"-SUM-",5,10,9,22,7,53
"Diodorus",24,2,0,7,0,9
"Herodotus",0,20,2,1,4,7
"Plutarch",5,0,20,7,4,16
"Polybius",4,0,0,32,1,5
"Thucydides",1,6,1,3,26,11
"-SUM-",10,8,3,18,9,48
"Diodorus",26,1,0,7,0,8
"Herodotus",2,24,0,1,1,4
"Plutarch",2,3,24,8,2,15
"Polybius",2,2,1,27,2,7
"Thucydides",3,9,4,3,16,19
