"","Diodorus","Herodotus","Lysias","Plutarch","Polybius","Thucydides","-SUM-"
"Polybius",0,1,0,0,23,2,3
"Thucydides",0,2,0,1,2,14,5
"-SUM-",2,8,2,2,8,7,29
"Diodorus",16,1,0,0,6,0,7
"Herodotus",1,14,0,1,1,1,4
"Lysias",0,3,18,2,2,2,9
"Plutarch",1,2,0,12,4,2,9
"Polybius",2,0,0,2,9,0,4
"Thucydides",0,7,2,3,1,18,13
"-SUM-",4,13,2,8,14,5,46
"Diodorus",19,0,0,1,3,1,5
"Herodotus",0,23,0,0,0,3,3
"Lysias",0,2,10,0,2,4,8
"Plutarch",1,4,0,8,3,1,9
"Polybius",0,0,0,0,21,0,0
"Thucydides",0,5,0,2,4,16,11
"-SUM-",1,11,0,3,12,9,36
"Diodorus",16,1,0,0,4,0,5
"Herodotus",1,9,1,0,0,4,6
"Lysias",0,4,21,1,1,0,6
"Plutarch",0,1,0,15,6,5,12
"Polybius",1,0,0,0,20,0,1
"Thucydides",1,3,1,1,1,15,7
"-SUM-",3,9,2,2,12,9,37
"Diodorus",13,0,0,0,2,0,2
"Herodotus",4,19,1,0,1,2,8
"Lysias",1,3,14,0,0,0,4
"Plutarch",0,3,0,12,8,1,12
"Polybius",1,0,0,2,18,1,4
"Thucydides",1,2,2,4,0,18,9
"-SUM-",7,8,3,6,11,4,39
"Diodorus",18,1,0,1,6,0,8
"Herodotus",0,21,1,1,0,2,4
"Lysias",0,0,22,0,0,0,0
"Plutarch",0,1,0,13,4,0,5
"Polybius",0,0,0,0,24,0,0
"Thucydides",0,2,1,2,3,10,8
"-SUM-",0,4,2,4,13,2,25
"Diodorus",17,5,0,0,8,0,13
"Herodotus",2,11,0,1,0,1,4
"Lysias",0,5,14,2,2,0,9
"Plutarch",1,5,0,11,3,3,12
"Polybius",0,0,1,0,26,0,1
"Thucydides",0,4,1,2,2,6,9
"-SUM-",3,19,2,5,15,4,48
"Diodorus",13,2,0,0,6,0,8
"Herodotus",1,14,0,2,0,5,8
"Lysias",0,5,21,2,0,1,8
"Plutarch",0,2,1,14,2,1,6
"Polybius",1,0,0,2,19,1,4
"Thucydides",1,3,0,2,1,11,7
"-SUM-",3,12,1,8,9,8,41
"Diodorus",16,0,0,1,2,0,3
"Herodotus",1,19,0,0,0,4,5
"Lysias",0,2,15,0,1,1,4
"Plutarch",0,2,0,18,4,1,7
"Polybius",2,0,0,2,22,1,5
"Thucydides",0,3,0,2,3,11,8
"-SUM-",3,7,0,5,10,7,32
"Diodorus",12,2,0,1,3,0,6
"Herodotus",3,24,1,0,2,3,9
"Lysias",0,1,21,0,1,1,3
"Plutarch",1,3,0,13,5,0,9
"Polybius",1,0,0,0,20,1,2
"Thucydides",0,2,0,2,1,9,5
"-SUM-",5,8,1,3,12,5,34
"Diodorus",14,1,0,0,3,0,4
"Herodotus",3,17,1,0,2,3,9
"Lysias",0,4,19,0,1,1,6
"Plutarch",0,2,0,9,3,4,9
"Polybius",1,0,0,2,16,0,3
"Thucydides",0,4,0,2,7,14,13
"-SUM-",4,11,1,4,16,8,44
"Diodorus",14,2,0,1,3,0,6
"Herodotus",1,21,0,1,2,2,6
"Lysias",1,4,13,1,0,1,7
"Plutarch",0,3,0,14,4,2,9
"Polybius",1,0,1,1,19,0,3
"Thucydides",0,4,1,2,0,14,7
"-SUM-",3,13,2,6,9,5,38
"Diodorus",9,1,0,0,4,1,6
"Herodotus",0,17,0,2,1,4,7
"Lysias",0,1,22,2,1,2,6
"Plutarch",1,0,0,14,4,0,5
"Polybius",0,0,0,2,12,0,2
"Thucydides",2,3,1,5,4,18,15
"-SUM-",3,5,1,11,14,7,41
"Diodorus",19,3,0,0,4,0,7
